"Segment ","Trading Date ","Total no. of Trades ","Traded Value (Rs. in Cr.) ","Registered Clients ","Settlement Number "
"Futures and Options","02-Jan-2026",7029806,3278993.46,425058,
"Futures and Options","01-Jan-2026",4396121,1665126.52,425058,
"Futures and Options","31-Dec-2025",5497509,2098425.29,425058,
"Futures and Options","30-Dec-2025",15811687,9541785.5,489558,
"Futures and Options","29-Dec-2025",8507093,4334534.79,489674,
"Futures and Options","26-Dec-2025",6132460,2792800.28,928158,
"Futures and Options","24-Dec-2025",4978004,1933273.19,928158,
"Futures and Options","23-Dec-2025",12350924,8086147.97,992504,
"Futures and Options","22-Dec-2025",6457168,3300997.1,992623,
"Futures and Options","19-Dec-2025",7566457,3521815.07,926427,
"Futures and Options","18-Dec-2025",5865605,2283149.36,926427,
"Futures and Options","17-Dec-2025",5391967,2066981.9,926427,
"Futures and Options","16-Dec-2025",13223727,8599483.59,926427,
"Futures and Options","15-Dec-2025",9923293,5025431.12,990709,
"Futures and Options","12-Dec-2025",8839418,4006488.93,921140,
"Futures and Options","11-Dec-2025",6619865,2598678.89,921140,
"Futures and Options","10-Dec-2025",6679275,2552474.5,925140,
"Futures and Options","09-Dec-2025",17327680,10472634.67,925140,
"Futures and Options","08-Dec-2025",10910367,5637252.39,989282,
"Futures and Options","05-Dec-2025",8965711,4122798.97,923960,
"Futures and Options","04-Dec-2025",5465167,2187034.19,923960,
"Futures and Options","03-Dec-2025",5375868,2095352.14,923960,
"Futures and Options","02-Dec-2025",14455280,9218135.07,923960,
"Futures and Options","01-Dec-2025",9936294,5121544.58,987936,
"Futures and Options","28-Nov-2025",7286022,3336124.6,1053339,
"Futures and Options","27-Nov-2025",5901998,2381312.99,1053339,
"Futures and Options","26-Nov-2025",5386263,2073756.11,1053339,
"Futures and Options","25-Nov-2025",17176006,9938274.52,1116964,
"Futures and Options","24-Nov-2025",10876594,5106927.84,1117090,
"Futures and Options","21-Nov-2025",9489638,4089694.86,921668,
"Futures and Options","20-Nov-2025",5522558,2102724.52,921668,
"Futures and Options","19-Nov-2025",6116844,2269623.81,921668,
"Futures and Options","18-Nov-2025",14467515,9099326.82,921668,
"Futures and Options","17-Nov-2025",9047430,4322348,985201,
"Futures and Options","14-Nov-2025",10696249,4492423,920641,
"Futures and Options","13-Nov-2025",5902143,2119209,920641,
"Futures and Options","12-Nov-2025",5380657,1954203,920641,
"Futures and Options","11-Nov-2025",16164038,10032813,920641,
"Futures and Options","10-Nov-2025",8731056,4405478,984041,
"Futures and Options","07-Nov-2025",9239520,4245614.26,919650,
"Futures and Options","06-Nov-2025",5620584,2204292.13,919650,
"Futures and Options","04-Nov-2025",13514783,8464494.92,919650,
"Futures and Options","03-Nov-2025",9232436,4505443.38,982893,
"Futures and Options","31-Oct-2025",8665300,3897230.05,9328738,
"Futures and Options","30-Oct-2025",5638593,2135597.33,9328738,
"Futures and Options","29-Oct-2025",5811911,2128052.64,9328738,
"Futures and Options","28-Oct-2025",14407119,7305132.14,9328738,
"Futures and Options","27-Oct-2025",10849213,5042068.83,9391761,
"Futures and Options","24-Oct-2025",10498692,4488858,9323555,
"Futures and Options","23-Oct-2025",6996273,2718182,9323555,
"Futures and Options","21-Oct-2025",1098039,433836,9323555,
"Futures and Options","20-Oct-2025",11167782,5959115,9386435,
"Futures and Options","17-Oct-2025",11614108,5387248.21,9322995,
"Futures and Options","16-Oct-2025",6170912,2492551.47,9322995,
"Futures and Options","15-Oct-2025",5920437,2377567.97,9322995,
"Futures and Options","14-Oct-2025",12888891,7178356.81,9385551,
"Futures and Options","13-Oct-2025",9231835,4657789.59,9389676,
"Futures and Options","10-Oct-2025",8065452,3801240.22,9326005,
"Futures and Options","09-Oct-2025",5887345,2396935.43,9326005,
"Futures and Options","08-Oct-2025",6671228,2768817.67,9326005,
"Futures and Options","07-Oct-2025",14361131,9108247.74,9388307,
"Futures and Options","06-Oct-2025",8940276,4821292.19,9388431,
"Futures and Options","03-Oct-2025",7839266,3718348.98,9250768,
"Futures and Options","01-Oct-2025",5735503,2389105.31,9250768,
"Futures and Options","30-Sep-2025",14570166,7945224.06,9250768,
"Futures and Options","29-Sep-2025",11273219,5404734.97,9313042,
"Futures and Options","26-Sep-2025",9601078,4185524,924332,
"Futures and Options","25-Sep-2025",5951524,2272271,924332,
"Futures and Options","24-Sep-2025",6142723,2326739,924332,
"Futures and Options","23-Sep-2025",15264494,9295813,924332,
"Futures and Options","22-Sep-2025",8753165,4426107,986382,
"Futures and Options","19-Sep-2025",7825785,3306542,923395,
"Futures and Options","18-Sep-2025",5270486,2054435,923395,
"Futures and Options","17-Sep-2025",4806292,1805614,923423,
"Futures and Options","16-Sep-2025",11224592,7486866,923423,
"Futures and Options","15-Sep-2025",6494901,3343495,989273,
"Futures and Options","12-Sep-2025",5847926,2739811,913660,
"Futures and Options","11-Sep-2025",4193936,1655411,913660,
"Futures and Options","10-Sep-2025",5473427,2127786,913660,
"Futures and Options","09-Sep-2025",12815097,8011119,913660,
"Futures and Options","08-Sep-2025",9893957,4693068,975283,
"Futures and Options","05-Sep-2025",9275987,4166279,925362,
"Futures and Options","04-Sep-2025",6335885,2572336,925362,
"Futures and Options","03-Sep-2025",5970601,2312956,986651,
"Futures and Options","02-Sep-2025",14773414,8698266,986651,
"Futures and Options","01-Sep-2025",7935884,3942288,986781,
"Futures and Options","29-Aug-2025",7699585,3380760,519418,
"Futures and Options","28-Aug-2025",17322850,9302747,519418,
"Futures and Options","26-Aug-2025",6822575,2828021,580498,
"Futures and Options","25-Aug-2025",6188476,2498526,580624,
"Futures and Options","22-Aug-2025",6212689,2368200,514468,
"Futures and Options","21-Aug-2025",12878575,7919503,514468,
"Futures and Options","20-Aug-2025",8155524,3798217,575349,
"Futures and Options","19-Aug-2025",5692582,2317414,579349,
"Futures and Options","18-Aug-2025",6364259,2457334,579451,
"Futures and Options","14-Aug-2025",12014818,7128598,513435,
"Futures and Options","13-Aug-2025",9138799,4171744,574180,
"Futures and Options","12-Aug-2025",7024414,2847786,574180,
"Futures and Options","11-Aug-2025",6340458,2395705,578296,
"Futures and Options","08-Aug-2025",6311996,2327812,516584,
"Futures and Options","07-Aug-2025",15005329,9016478,516584,
"Futures and Options","06-Aug-2025",8379241,3707965,516584,
"Futures and Options","05-Aug-2025",5201695,2048364,577169,
"Futures and Options","04-Aug-2025",5807849,2204879,577300,
"Futures and Options","01-Aug-2025",6668530,2441034,515468,
"Futures and Options","31-Jul-2025",19892749,10361245,575853,
"Futures and Options","30-Jul-2025",9503399,4120792,575853,
"Futures and Options","29-Jul-2025",6619135,2527301,575881,
"Futures and Options","28-Jul-2025",7314955,2749228,576007,
"Futures and Options","25-Jul-2025",6725489,2457288,501762,
"Futures and Options","24-Jul-2025",12936485,7921327,501762,
"Futures and Options","23-Jul-2025",7945124,3699383,561988,
"Futures and Options","22-Jul-2025",5394717,2117112,561988,
"Futures and Options","21-Jul-2025",6267205,2472038,562093,
"Futures and Options","18-Jul-2025",5405487,2041440,496586,
"Futures and Options","17-Jul-2025",10913362,6780731,496586,
"Futures and Options","16-Jul-2025",7946459,3682011,496586,
